Area,Room,Parking,Warehouse,Elevator,Address
63.0,1,1,1,1,Shahran
60.0,1,1,1,1,Shahran
79.0,2,1,1,1,Pardis
95.0,2,1,1,1,Shahrake Qods
123.0,2,1,1,1,Shahrake Gharb
70.0,2,1,1,0,North Program Organization
87.0,2,1,1,1,Pardis
59.0,1,1,1,1,Shahran
54.0,2,1,1,0,Andisheh
71.0,1,1,1,1,West Ferdows Boulevard
68.0,2,1,1,1,West Ferdows Boulevard
64.0,1,1,1,1,Narmak
54.0,1,0,1,1,Narmak
136.0,3,1,1,1,Saadat Abad
95.0,2,1,1,1,Zafar
63.0,1,0,1,0,Islamshahr
155.0,3,1,1,1,Narmak
64.0,2,0,1,0,Pirouzi
140.0,3,1,1,1,West Ferdows Boulevard
42.0,1,0,1,0,Pirouzi
93.0,2,1,1,1,Shahrake Gharb
87.0,2,1,1,1,Shahrake Shahid Bagheri
65.0,1,1,1,1,Shahran
99.0,2,1,1,1,Moniriyeh
105.0,2,1,1,1,Saadat Abad
160.0,3,1,1,1,Velenjak
77.0,2,1,1,1,Amirieh
123.0,2,1,1,1,Pirouzi
110.0,2,1,1,1,Southern Janatabad
100.0,2,1,1,1,West Ferdows Boulevard
90.0,2,0,1,0,Salsabil
49.0,1,1,1,1,West Ferdows Boulevard
96.0,2,1,1,1,Zargandeh
67.0,2,1,1,0,Feiz Garden
68.0,2,1,1,1,West Ferdows Boulevard
62.0,1,1,0,1,Water Organization
55.0,1,1,1,1,West Ferdows Boulevard
110.0,2,1,1,1,West Ferdows Boulevard
129.0,2,1,1,1,West Ferdows Boulevard
109.0,2,1,1,1,West Ferdows Boulevard
58.0,1,1,1,1,Saadat Abad
55.0,1,1,1,1,Saadat Abad
150.0,2,0,1,1,Shahrake Qods
60.0,2,1,1,1,
130.0,3,1,1,0,ShahrAra
88.0,2,1,1,1,Gisha
51.0,1,1,1,1,Gisha
113.0,3,1,1,0,Shahrake Gharb
110.0,2,1,1,1,Ray
60.0,1,1,1,1,Abbasabad
98.0,2,1,1,1,Pardis
62.0,2,0,0,1,Ostad Moein
150.0,3,1,1,1,Farmanieh
75.0,2,0,0,0,Parand
61.0,1,1,1,0,Punak
72.0,2,1,1,1,Shahran
100.0,2,1,1,1,Qasr-od-Dasht
122.0,3,1,1,1,Aqdasieh
215.0,3,1,1,1,Pakdasht
101.0,2,1,1,1,Railway
67.0,2,1,1,1,Punak
72.0,2,1,1,0,Punak
63.0,1,1,1,0,Punak
75.0,2,1,1,0,Punak
109.0,2,1,1,1,Shahran
122.0,2,1,1,1,Aqdasieh
70.0,1,1,1,1,Central Janatabad
60.0,1,1,1,1,West Ferdows Boulevard
53.0,1,1,1,0,East Ferdows Boulevard
90.0,1,0,1,0,Pakdasht KhatunAbad
72.0,2,1,1,1,Amirieh
74.0,2,1,1,1,Amirieh
88.0,3,0,0,1,Parand
63.0,1,1,1,1,Punak
114.0,3,1,1,1,Sattarkhan
151.0,3,1,1,1,Saadat Abad
42.0,1,1,0,1,Shahran
300.0,3,1,1,0,Baghestan
110.0,2,1,1,1,West Ferdows Boulevard
100.0,2,0,0,0,Shahrake Qods
140.0,1,0,0,0,Shahryar
70.0,2,1,1,1,Northern Janatabad
60.0,2,1,1,0,West Ferdows Boulevard
76.0,2,1,1,1,North Program Organization
148.0,3,1,1,1,Daryan No
75.0,2,1,1,1,North Program Organization
40.0,1,1,1,0,Pirouzi
65.0,2,1,1,1,Southern Program Organization
140.0,3,1,1,1,Rudhen
110.0,2,1,1,1,West Pars
70.0,2,1,0,1,Afsarieh
128.0,3,1,1,1,Marzdaran
94.0,2,1,1,1,Parand
67.0,1,1,1,1,Punak
75.0,1,1,1,1,Shahrake Qods
130.0,2,1,1,1,Dorous
40.0,0,0,0,0,Shahrake Qods
97.0,2,1,1,1,Pardis
110.0,2,1,1,1,Shahran
150.0,3,1,1,1,Sadeghieh
75.0,2,0,0,0,Chahardangeh
137.0,3,1,1,1,ShahrAra
85.0,2,1,1,1,Parand
68.0,2,0,1,0,Pakdasht
78.0,2,0,1,0,Baqershahr
85.0,2,1,1,1,Parand
100.0,2,1,1,0,Parand
71.0,2,1,1,1,Punak
140.0,3,1,1,1,Gisha
136.0,3,1,1,0,Parand
48.0,1,0,0,0,Jeyhoon
100.0,2,1,1,1,Lavizan
82.0,2,1,0,1,Shams Abad
120.0,3,1,1,1,Fatemi
139.0,3,1,1,1,Gisha
110.0,3,1,1,1,Keshavarz Boulevard
78.0,2,0,0,1,Parand
79.0,2,0,0,0,Baghestan
66.0,2,1,1,1,Salsabil
78.0,2,1,1,1,Kahrizak
85.0,2,1,1,1,Shahryar
100.0,2,1,1,0,Qarchak
80.0,2,1,1,1,Northren Jamalzadeh
44.0,1,1,1,0,Salsabil
120.0,2,1,1,0,Shahryar
50.0,1,0,1,0,Shahrake Qods
121.0,3,1,1,0,Ostad Moein
80.0,2,1,1,1,Azarbaijan
70.0,2,0,1,1,Bahar
160.0,1,0,0,0,Qarchak
40.0,0,0,0,0,Pakdasht
88.0,2,1,1,1,Railway
141.0,3,1,1,1,Persian Gulf Martyrs Lake
140.0,3,1,1,1,Persian Gulf Martyrs Lake
120.0,2,1,1,1,Persian Gulf Martyrs Lake
66.0,2,0,1,0,Beryanak
70.0,2,1,1,1,Punak
75.0,2,1,0,1,Heshmatieh
70.0,2,0,1,1,Elm-o-Sanat
150.0,3,1,1,1,Saadat Abad
95.0,2,1,1,1,Golestan
127.0,2,1,1,1,Southern Janatabad
123.0,3,1,1,1,Shahr-e-Ziba
63.0,2,1,1,1,Southern Janatabad
90.0,2,1,1,1,Punak
105.0,2,1,1,1,Pardis
180.0,3,1,1,1,Pasdaran
120.0,3,1,0,1,Pirouzi
65.0,2,1,1,1,Feiz Garden
158.0,3,1,1,1,Farmanieh
144.0,3,1,1,1,Chardivari
144.0,3,1,1,1,Punak
130.0,3,1,1,1,Gheitarieh
245.0,3,1,1,1,Farmanieh
190.0,3,1,1,1,Kamranieh
63.0,2,1,1,1,Central Janatabad
75.0,2,1,1,1,East Ferdows Boulevard
88.0,2,1,0,1,Gholhak
108.0,2,1,1,1,Pasdaran
117.0,2,1,1,1,Islamshahr
200.0,3,1,1,1,Pasdaran
65.0,1,1,1,0,Pirouzi
90.0,2,1,1,1,Central Janatabad
125.0,2,1,1,1,Heravi
140.0,3,1,1,1,Heravi
71.0,2,0,1,1,Hashemi
71.0,2,0,1,1,Jeyhoon
236.0,4,1,1,1,Gheitarieh
67.0,2,1,1,1,Central Janatabad
60.0,1,1,1,1,Punak
220.0,3,1,1,1,Heravi
44.0,1,1,1,0,Andisheh
68.0,1,1,1,1,Heravi
100.0,2,1,1,1,Pasdaran
86.0,2,1,1,1,Pardis
84.0,2,1,1,1,Pardis
94.0,2,1,1,1,Heravi
55.0,1,0,1,0,West Ferdows Boulevard
113.0,2,1,1,1,Saadat Abad
71.0,2,1,1,1,Islamshahr
70.0,2,1,1,0,Dehkade Olampic
200.0,3,1,1,1,Golestan
106.0,2,1,1,1,Golestan
320.0,4,1,1,1,Saadat Abad
114.0,2,1,1,1,West Pars
100.0,2,1,1,1,Punak
122.0,2,1,1,1,Saadat Abad
200.0,2,1,1,0,Damavand
154.0,3,1,1,1,Saadat Abad
210.0,3,1,1,1,Pasdaran
200.0,3,1,1,1,East Ferdows Boulevard
65.0,1,1,1,1,Southern Janatabad
124.0,3,1,1,1,Pirouzi
83.0,2,1,1,1,Republic
270.0,4,1,1,1,Farmanieh
104.0,2,1,1,1,East Ferdows Boulevard
150.0,3,1,1,1,Zaferanieh
103.0,3,1,1,1,West Ferdows Boulevard
48.0,1,1,1,1,West Ferdows Boulevard
165.0,3,1,1,1,Gheitarieh
135.0,2,1,1,0,Gheitarieh
86.0,2,1,1,1,Saadat Abad
75.0,2,1,1,1,East Ferdows Boulevard
58.0,1,1,1,1,East Ferdows Boulevard
125.0,2,1,1,1,Shahrake Gharb
82.0,2,1,1,1,Qazvin Imamzadeh Hassan
58.0,2,1,1,1,Shahran
101.0,2,1,1,1,Beryanak
90.0,2,1,1,1,Niavaran
180.0,3,1,1,1,Farmanieh
132.0,3,1,1,1,Gheitarieh
81.0,2,1,1,1,Valiasr
153.0,3,1,1,1,Pasdaran
166.0,3,1,1,1,Qalandari
200.0,3,1,1,1,Pasdaran
113.0,2,1,1,1,Pasdaran
100.0,2,1,1,1,Valiasr
80.0,2,1,1,1,Central Janatabad
76.0,2,1,1,1,Jeyhoon
128.0,3,1,1,1,Punak
210.0,3,1,1,1,Shahrake Gharb
140.0,2,1,1,1,Shahrake Gharb
74.0,2,1,1,1,Amir Bahador
75.0,1,1,1,1,Central Janatabad
120.0,2,1,1,1,Pasdaran
85.0,2,1,1,1,Ekhtiarieh
105.0,2,1,1,1,Pardis
175.0,3,1,1,1,Farmanieh
170.0,3,1,1,1,Farmanieh
58.0,1,1,1,1,Ekbatan
75.0,2,1,1,1,Parand
160.0,3,1,1,1,Gheitarieh
62.0,1,1,1,1,Shahran
93.0,2,1,1,1,Rudhen
75.0,2,1,1,1,Islamshahr
86.0,2,1,1,0,Islamshahr
120.0,2,1,1,1,Southern Program Organization
95.0,2,1,1,1,Andisheh
70.0,2,1,1,0,West Ferdows Boulevard
75.0,2,1,1,0,East Ferdows Boulevard
81.0,2,1,0,1,Pardis
65.0,1,1,1,0,West Ferdows Boulevard
75.0,2,1,1,1,East Ferdows Boulevard
106.0,2,1,1,0,East Ferdows Boulevard
115.0,2,1,1,1,East Ferdows Boulevard
100.0,2,1,1,1,Shahr-e-Ziba
118.0,2,1,1,1,East Ferdows Boulevard
116.0,2,1,1,1,East Ferdows Boulevard
76.0,2,1,1,1,Shahr-e-Ziba
74.0,2,1,1,0,East Ferdows Boulevard
96.0,2,1,1,1,Saadat Abad
87.0,2,1,1,1,Pardis
43.0,1,1,1,0,Northern Janatabad
155.0,3,1,1,1,Niavaran
53.0,1,1,1,1,East Ferdows Boulevard
160.0,3,1,1,1,Farmanieh
78.0,2,1,1,1,Shahr-e-Ziba
230.0,3,1,1,1,Niavaran
55.0,1,1,1,1,West Ferdows Boulevard
120.0,2,1,1,0,Saadat Abad
78.0,2,1,1,1,Southern Janatabad
95.0,2,1,1,1,Southern Janatabad
170.0,3,1,1,1,Gheitarieh
175.0,3,1,1,1,Shahrake Gharb
115.0,3,1,1,1,Punak
113.0,2,1,1,1,Punak
85.0,2,1,1,1,Punak
140.0,3,1,1,1,Saadat Abad
90.0,2,1,1,1,Saadat Abad
63.0,1,1,0,0,Punak
75.0,2,1,1,1,Central Janatabad
130.0,3,1,1,1,Punak
91.0,2,1,1,1,Punak
121.0,3,1,1,1,Persian Gulf Martyrs Lake
140.0,3,1,1,1,Saadat Abad
126.0,2,1,1,1,East Ferdows Boulevard
450.0,2,1,1,0,Absard
500.0,2,1,1,0,Absard
110.0,1,1,1,1,Pasdaran
145.0,3,1,1,1,Haft Tir
81.0,2,1,1,1,Shahrake Qods
64.0,2,1,1,1,Shahr-e-Ziba
112.0,2,1,1,1,Shahr-e-Ziba
192.0,3,1,1,1,Marzdaran
164.0,3,1,1,1,Marzdaran
135.0,3,1,1,1,Pasdaran
170.0,3,1,1,1,Mahallati
130.0,3,1,1,1,Mahallati
84.0,2,1,1,1,Shahran
82.0,2,1,1,1,Shahran
265.0,3,1,1,1,Farmanieh
60.0,1,1,1,1,Southern Janatabad
145.0,3,1,1,1,Pasdaran
65.0,1,0,1,1,Southern Janatabad
60.0,1,1,1,0,Southern Janatabad
70.0,2,1,1,1,Southern Janatabad
92.0,2,1,1,1,Feiz Garden
98.0,2,1,1,1,Pasdaran
62.0,1,1,1,1,Southern Janatabad
65.0,1,1,1,1,Punak
90.0,2,1,1,1,Ozgol
59.0,2,1,1,1,Southern Janatabad
60.0,2,1,1,1,Southern Janatabad
70.0,2,1,1,1,Southern Janatabad
60.0,1,1,1,1,Southern Janatabad
165.0,3,1,1,1,Pasdaran
135.0,2,1,1,1,Zaferanieh
65.0,1,1,1,1,Southern Janatabad
60.0,1,1,1,1,Southern Janatabad
86.0,2,1,1,1,Southern Janatabad
109.0,2,1,1,1,Heravi
98.0,2,1,1,0,Narmak
80.0,2,1,1,1,Central Janatabad
143.0,3,1,1,1,Gheitarieh
95.0,2,1,1,1,Saadat Abad
86.0,2,1,1,1,Punak
160.0,3,1,1,1,Gheitarieh
200.0,3,1,1,1,Pasdaran
74.0,1,1,1,1,Punak
350.0,3,1,1,1,Zaferanieh
87.0,2,1,1,1,Northern Janatabad
82.0,2,1,1,1,West Ferdows Boulevard
55.0,1,1,1,1,Shahr-e-Ziba
148.0,3,1,1,1,Ekhtiarieh
55.0,1,1,0,1,Shahr-e-Ziba
100.0,2,1,1,0,Southern Janatabad
130.0,3,1,1,1,Central Janatabad
335.0,4,1,1,1,Saadat Abad
320.0,4,1,1,1,Saadat Abad
192.0,3,1,1,1,Saadat Abad
100.0,2,1,1,1,Gheitarieh
148.0,3,1,1,1,Saadat Abad
145.0,2,1,1,1,Shahrake Gharb
192.0,4,1,1,1,Saadat Abad
235.0,3,1,1,1,North Program Organization
225.0,3,1,1,1,Heravi
221.0,4,1,1,1,Saadat Abad
312.0,4,1,1,1,Farmanieh
188.0,3,1,1,1,Ozgol
170.0,2,1,1,1,Farmanieh
198.0,3,1,1,1,Farmanieh
80.0,2,1,1,1,North Program Organization
170.0,3,1,1,1,Niavaran
110.0,2,1,1,1,Tajrish
200.0,3,1,1,1,Saadat Abad
101.0,3,1,1,1,Ekhtiarieh
104.0,2,1,1,1,Feiz Garden
70.0,2,1,1,1,Northern Janatabad
76.0,2,1,1,0,Shahr-e-Ziba
110.0,2,1,1,1,Feiz Garden
160.0,2,1,1,1,Pasdaran
179.0,3,1,1,1,Dorous
256.0,3,1,1,1,Dorous
90.0,2,1,1,1,Feiz Garden
77.0,2,1,1,1,Shahr-e-Ziba
96.0,2,1,1,1,Pasdaran
75.0,1,1,1,1,Central Janatabad
79.0,2,1,1,1,Abazar
67.0,1,1,1,1,Saadat Abad
125.0,2,1,1,1,Shahr-e-Ziba
75.0,2,1,1,0,Shahr-e-Ziba
91.0,2,1,1,1,Saadat Abad
105.0,2,1,1,1,Parand
66.0,2,1,1,1,Ostad Moein
86.0,2,1,1,1,Southern Janatabad
72.0,2,1,1,0,Northern Janatabad
148.0,2,1,0,1,Koohsar
84.0,2,1,1,1,Saadat Abad
128.0,2,1,1,1,Niavaran
65.0,1,1,1,1,West Ferdows Boulevard
140.0,3,1,1,1,Pasdaran
115.0,2,1,1,1,Ekhtiarieh
105.0,2,1,1,1,Saadat Abad
87.0,2,1,1,1,Pardis
60.0,1,1,1,1,Persian Gulf Martyrs Lake
68.0,1,1,1,1,Southern Program Organization
103.0,2,1,1,1,Hekmat
55.0,1,1,1,1,West Ferdows Boulevard
140.0,3,1,1,1,Punak
257.0,4,1,1,1,Persian Gulf Martyrs Lake
82.0,2,1,1,1,Punak
167.0,3,1,1,1,Punak
53.0,1,0,1,0,West Ferdows Boulevard
51.0,1,0,1,0,West Ferdows Boulevard
54.0,1,1,1,0,West Ferdows Boulevard
82.0,2,1,1,1,Sattarkhan
75.0,2,1,1,1,West Ferdows Boulevard
98.0,2,1,1,1,West Ferdows Boulevard
70.0,1,1,1,1,Niavaran
64.0,1,1,1,1,Ekbatan
85.0,2,1,1,1,Jeyhoon
48.0,1,0,1,0,Parastar
246.0,3,1,1,1,Ekhtiarieh
168.0,3,1,1,1,Gheitarieh
280.0,4,1,1,1,Saadat Abad
84.0,2,1,1,1,Pardis
108.0,2,1,1,1,Gisha
62.0,1,1,1,1,Shahr-e-Ziba
70.0,2,1,1,1,Southern Janatabad
135.0,3,1,1,1,Abazar
108.0,2,1,1,1,Farmanieh
91.0,2,1,1,1,Ekhtiarieh
120.0,2,1,1,1,Gheitarieh
112.0,2,1,1,0,Gheitarieh
69.0,2,1,1,1,Pirouzi
400.0,5,1,1,0,Lavasan
660.0,5,1,1,0,Lavasan
66.0,1,1,0,1,Pirouzi
80.0,2,1,1,1,Ostad Moein
44.0,1,1,1,0,Pirouzi
180.0,3,1,1,1,East Ferdows Boulevard
164.0,3,1,1,1,East Ferdows Boulevard
213.0,3,1,1,1,East Ferdows Boulevard
100.0,2,1,1,1,Shahr-e-Ziba
300.0,3,1,1,1,Niavaran
126.0,3,1,1,1,Ostad Moein
85.0,2,1,1,1,Majidieh
57.0,1,0,1,1,Parastar
61.0,1,0,1,0,Shahr-e-Ziba
79.0,2,1,1,1,Jeyhoon
68.0,1,1,1,1,Pirouzi
105.0,2,1,1,1,Pardis
105.0,2,1,1,1,Saadat Abad
160.0,2,1,1,1,Pardis
100.0,2,1,1,1,Pardis
125.0,3,1,1,1,Saadat Abad
94.0,2,1,0,1,Pardis
80.0,2,0,1,0,Northern Janatabad
75.0,2,1,0,1,Parastar
99.0,3,1,1,1,North Program Organization
90.0,2,1,1,1,Shahr-e-Ziba
129.0,3,1,1,1,Shahr-e-Ziba
245.0,3,1,1,1,Aqdasieh
102.0,2,1,1,0,Parastar
141.0,3,1,1,1,Pakdasht
96.0,2,1,1,1,Shahr-e-Ziba
155.0,3,1,1,1,Heravi
300.0,3,1,1,1,Farmanieh
87.0,2,1,1,1,Gheitarieh
105.0,2,1,1,1,Gheitarieh
61.0,1,1,1,1,Shahran
88.0,2,1,1,1,East Ferdows Boulevard
101.0,2,1,1,1,West Ferdows Boulevard
130.0,2,1,1,1,Southern Chitgar
150.0,3,1,1,1,Karimkhan
144.0,2,1,1,1,Railway
91.0,2,1,1,1,Southern Janatabad
68.0,2,1,1,1,West Ferdows Boulevard
133.0,3,1,1,1,Rudhen
71.0,2,1,1,1,Si Metri Ji
64.0,1,1,1,1,Pardis
132.0,2,1,1,1,Rudhen
95.0,2,1,1,1,Abazar
95.0,2,1,1,1,Abazar
102.0,2,1,1,1,Abazar
120.0,2,1,1,1,Abazar
117.0,3,1,1,1,East Ferdows Boulevard
55.0,1,1,1,1,Karoon
60.0,1,1,1,1,Northern Chitgar
85.0,2,1,1,1,Jeyhoon
80.0,2,0,1,1,Jeyhoon
54.0,1,1,1,1,Jeyhoon
57.0,1,1,1,1,Feiz Garden
101.0,2,1,0,1,Pirouzi
65.0,2,1,1,0,Feiz Garden
91.0,2,1,1,1,Punak
105.0,2,1,1,1,Pardis
86.0,2,1,1,1,Central Janatabad
200.0,3,1,1,1,Farmanieh
87.0,2,1,1,1,Pardis
103.0,2,1,1,1,Shahran
81.0,2,1,1,1,East Pars
73.0,2,1,1,1,Feiz Garden
90.0,2,1,1,1,Northern Chitgar
134.0,3,1,1,1,Andisheh
51.0,1,1,1,0,Shahran
108.0,2,1,1,0,Pardis
86.0,2,1,1,1,Pardis
110.0,2,1,1,0,Pardis
88.0,2,1,1,1,Pardis
85.0,2,1,1,1,Pardis
100.0,2,1,1,1,Pirouzi
87.0,2,1,1,1,Pardis
191.0,3,1,1,1,Farmanieh
91.0,2,1,1,1,Salsabil
282.0,3,1,1,1,Farmanieh
282.0,2,1,1,1,Niavaran
210.0,3,1,1,1,Farmanieh
170.0,2,1,1,1,Kook
89.0,2,1,1,1,Moniriyeh
64.0,2,1,1,1,Saadat Abad
89.0,2,1,1,1,Northern Janatabad
135.0,3,1,1,1,Zaferanieh
75.0,2,0,0,0,Air force
105.0,2,1,1,1,Air force
111.0,2,1,1,1,Saadat Abad
133.0,3,1,1,1,Sohanak
65.0,1,1,1,0,Saadat Abad
65.0,1,0,1,1,Lavizan
112.0,2,1,1,1,Gheitarieh
147.0,3,1,1,1,Ekhtiarieh
150.0,3,1,1,1,Saadat Abad
67.0,1,1,1,1,Southern Janatabad
220.0,3,1,1,1,Ekhtiarieh
66.0,2,1,1,1,Narmak
75.0,2,1,1,0,Shahr-e-Ziba
180.0,3,1,1,1,Aqdasieh
103.0,2,1,1,1,Saadat Abad
68.0,1,1,1,1,West Ferdows Boulevard
115.0,2,1,1,1,Pasdaran
115.0,2,1,1,1,Andisheh
150.0,3,1,1,1,Narmak
78.0,2,1,1,1,Qasr-od-Dasht
100.0,2,1,1,1,Persian Gulf Martyrs Lake
58.0,1,1,1,1,Punak
90.0,2,1,1,1,Punak
235.0,3,1,1,1,Gheitarieh
48.0,1,1,1,1,Punak
70.0,2,1,1,1,Punak
86.0,2,1,1,1,Punak
88.0,2,1,1,1,Central Janatabad
145.0,3,1,1,1,Qalandari
64.0,2,1,1,0,Jeyhoon
135.0,3,1,1,1,Saadat Abad
50.0,1,0,1,0,Pirouzi
87.0,2,1,1,1,Pardis
84.0,2,1,1,1,Pardis
300.0,4,1,1,1,Zaferanieh
137.0,3,1,1,1,Zaferanieh
105.0,2,1,1,1,Velenjak
145.0,2,1,1,1,Zaferanieh
170.0,2,1,1,1,Zaferanieh
157.0,3,1,1,1,Zaferanieh
170.0,3,1,1,1,Zaferanieh
283.0,3,1,1,1,Zaferanieh
84.0,2,1,1,1,Pardis
,2,1,1,1,Ostad Moein
80.0,2,1,1,0,Northern Janatabad
125.0,2,1,1,1,Kamranieh
65.0,2,1,1,1,Punak
105.0,2,1,1,1,Southern Janatabad
170.0,3,1,1,1,Farmanieh
230.0,3,1,1,1,Ekhtiarieh
200.0,3,1,1,1,Pasdaran
150.0,3,1,1,1,Pasdaran
93.0,2,1,1,1,Central Janatabad
110.0,2,1,1,1,Central Janatabad
415.0,5,1,1,1,Niavaran
95.0,2,1,1,1,Saadat Abad
128.0,3,1,1,1,Ekhtiarieh
140.0,2,1,1,1,Saadat Abad
86.0,2,1,1,1,Southern Janatabad
70.0,2,1,1,1,Saadat Abad
173.0,3,1,1,1,East Ferdows Boulevard
72.0,2,1,1,1,Southern Janatabad
73.0,2,1,1,1,Saadat Abad
75.0,1,1,1,1,Central Janatabad
67.0,2,1,1,1,West Ferdows Boulevard
68.0,2,1,1,1,East Ferdows Boulevard
88.0,2,1,1,1,Pardis
111.0,2,1,1,1,Saadat Abad
98.0,2,1,1,0,West Ferdows Boulevard
62.0,2,1,1,1,West Ferdows Boulevard
80.0,2,1,1,1,Central Janatabad
200.0,4,1,1,1,Saadat Abad
210.0,4,1,1,1,Saadat Abad
162.0,3,1,1,1,Shahrake Gharb
150.0,3,1,1,1,Ekhtiarieh
82.0,2,1,1,1,Pardis
130.0,3,1,1,1,Pasdaran
76.0,2,1,1,1,Saadat Abad
96.0,2,1,1,1,Shahrake Gharb
135.0,3,1,0,1,Saadat Abad
165.0,3,1,1,1,Shahrake Gharb
120.0,2,1,1,1,Shahrake Qods
160.0,2,1,1,1,Pardis
150.0,3,1,1,1,Gheitarieh
51.0,1,0,1,1,Pirouzi
75.0,1,1,1,1,Ekhtiarieh
180.0,3,1,1,1,East Ferdows Boulevard
93.0,2,1,1,1,Shahrake Qods
84.0,2,1,1,1,Shahrake Qods
92.0,2,0,1,1,Shahrake Qods
105.0,2,1,1,1,Shahrake Qods
67.0,2,1,1,0,Central Janatabad
100.0,2,1,1,1,Ekhtiarieh
170.0,3,1,1,1,Pasdaran
162.0,3,1,1,1,Pasdaran
43.0,1,1,1,1,Shahran
150.0,3,1,1,1,Gheitarieh
245.0,3,1,1,1,Farmanieh
93.0,2,1,1,1,Northern Janatabad
60.0,1,1,1,1,Persian Gulf Martyrs Lake
128.0,3,1,1,1,Gheitarieh
87.0,2,1,1,1,Pardis
100.0,2,1,1,1,Heravi
124.0,2,1,1,1,Heravi
156.0,3,1,1,1,Abazar
171.0,3,1,1,1,Gheitarieh
58.0,2,1,1,0,Central Janatabad
88.0,2,1,1,1,Amirieh
190.0,3,1,1,1,Niavaran
61.0,1,1,1,0,Central Janatabad
165.0,3,1,1,1,Niavaran
235.0,3,1,1,1,Gheitarieh
87.0,2,1,1,1,Pardis
121.0,3,1,1,1,Pardis
105.0,2,1,1,1,Pardis
100.0,3,1,1,1,Pardis
105.0,2,1,1,1,Pardis
69.0,2,1,1,1,Shahr-e-Ziba
115.0,2,1,1,1,Shahrake Gharb
157.0,3,1,1,1,Shahrake Gharb
145.0,3,1,1,1,Heravi
160.0,3,1,1,1,Velenjak
261.0,4,1,1,1,Zaferanieh
145.0,3,1,1,1,Zaferanieh
51.0,1,0,1,1,Pirouzi
87.0,2,1,1,1,Pardis
116.0,2,1,1,1,Dehkade Olampic
95.0,2,1,1,1,Jeyhoon
75.0,2,1,1,1,Jeyhoon
86.0,2,1,1,1,Komeil
95.0,2,1,1,1,Punak
85.0,2,1,1,1,
88.0,2,1,1,1,Valiasr
93.0,2,1,1,1,Amir Bahador
70.0,2,1,1,1,Amirieh
140.0,3,1,1,1,Saadat Abad
81.0,2,1,1,1,Central Janatabad
45.0,1,0,0,0,Ostad Moein
58.0,1,1,1,0,Punak
140.0,3,1,1,1,Dehkade Olampic
100.0,2,1,1,1,Kook
96.0,2,1,1,1,Azadshahr
79.0,2,1,1,1,East Ferdows Boulevard
125.0,3,1,1,1,Persian Gulf Martyrs Lake
